,subjects,elecs,s_Mai_RL,0_theta_AUC,1_alpha_AUC,2_beta_AUC,3_gamma_AUC,0_theta_Pow0,1_alpha_Pow0,2_beta_Pow0,3_gamma_Pow0,0_theta_Pow1,1_alpha_Pow1,2_beta_Pow1,3_gamma_Pow1,sig_1levtheta,sig_1levalpha,sig_1levbeta,sig_1levgamma,region,2lev_sig_theta,2lev_sig_alpha,2lev_sig_beta,2lev_sig_gamma
0,S0,0,SFG,0.7283333333333333,0.64,0.6083333333333332,0.8916666666666666,33.29735090358028,24.970347770354646,43.14449709471772,9.63198599093102,51.77751302555691,32.712559214219716,35.91882864446749,11.688690044093926,1,0,0,1,Frontal,0,0,0,1
1,S0,1,SFG,0.6733333333333332,0.62,0.7683333333333333,0.8133333333333332,16.520675719020847,7.331378421826495,13.051704343192661,3.686799548935376,29.16903000158641,11.882367117859216,16.268319147788716,4.4322553023319005,1,0,1,1,Frontal,0,0,0,0
2,S0,2,SFG,0.8249999999999998,0.825,0.6583333333333334,0.945,3.8818432120212285,3.249748233778599,4.136329874515814,2.0946310371429275,13.725944460066236,5.071186536678937,5.2295792320946335,1.5886691825536374,1,1,0,1,Frontal,0,1,0,0
3,S0,3,SFG,0.7816666666666666,0.8183333333333334,0.6316666666666667,0.91,36.10672680843057,17.05713307150008,19.3501295901909,4.825352785266797,19.894873430047788,10.490933577560453,26.704612970876788,5.956561027326052,1,1,0,1,Frontal,0,0,0,0
4,S0,4,SFG,0.6650000000000001,0.4966666666666667,0.945,0.9266666666666664,221.09640171620853,24.75002879927649,22.355058753279394,9.071527003447596,90.52756901768484,27.695661012859482,34.56129502208921,11.788592503270335,0,0,1,1,Frontal,0,0,0,0
5,S0,5,SFG,0.8899999999999999,0.8666666666666666,0.8783333333333333,0.96,2.89358801706476,1.3144360899034482,1.3278432009627843,0.6155891381297197,7.832263565271237,2.3192744959102827,2.014036012674234,1.0124817626450449,1,1,1,1,Frontal,0,1,0,0
6,S0,6,SFG,0.7200000000000001,0.7,0.9633333333333332,0.8649999999999999,3.9721685787984655,1.4694575777633616,2.1202277074750637,0.8939692633780151,8.298882040020063,2.3579649786340786,3.9586146971889855,1.509365606305742,1,1,1,1,Frontal,0,0,0,0
7,S0,7,SFG,0.7533333333333333,0.7549999999999999,0.62,0.8216666666666667,8.040106556926885,2.728460482221143,6.5836681641182295,1.3360517511646226,15.711740814903012,5.426805125076329,8.20954436969544,1.988854129716341,1,1,0,1,Frontal,0,0,0,0
8,S0,8,SFG,0.8716666666666667,0.68,0.7516666666666667,0.8816666666666666,7.137826686803131,4.186962315657537,12.17856088620469,1.1953402376641675,18.46087158083507,8.799371915316312,9.1382079173173,1.4755319609539383,1,1,1,1,Frontal,0,0,0,0
9,S0,9,SFG,0.6666666666666666,0.7649999999999999,0.7066666666666666,0.915,32.13486119503944,8.44413937016239,29.42466467962381,2.718923948533854,14.367797909553644,16.035632366967654,22.73559934098852,3.7715277450017406,0,1,1,1,Frontal,0,0,0,0
